,Network 1,Network 2,Mean Coeff,σ Coeff
L_PEF-L_7Pm,Dorsal_Attention,Frontoparietal,0.0,0.0
R_PFt-L_p47r,Dorsal_Attention,Frontoparietal,-0.0,0.0
R_7PL-L_AVI,Dorsal_Attention,Frontoparietal,0.0,0.0
R_TE2p-L_POS2,Dorsal_Attention,Frontoparietal,-0.0,0.0
L_PEF-L_POS2,Dorsal_Attention,Frontoparietal,0.0,0.0
R_PGp-R_p47r,Dorsal_Attention,Frontoparietal,-0.0,0.0
R_TE2p-L_7Pm,Dorsal_Attention,Frontoparietal,0.0,0.0
R_PFt-L_TGv,Dorsal_Attention,Language,-0.08,0.07
R_TE2p-L_TPOJ1,Dorsal_Attention,Language,-0.06,0.08
R_TE2p-L_PSL,Dorsal_Attention,Language,-0.02,0.05
R_7PL-R_TGv,Dorsal_Attention,Language,-0.01,0.01
R_TE2p-L_STV,Dorsal_Attention,Language,-0.01,0.01
L_PEF-L_STV,Dorsal_Attention,Language,-0.0,0.0
L_PHA3-L_TPOJ1,Dorsal_Attention,Language,0.0,0.0
R_6a-L_pOFC,Dorsal_Attention,Orbito-Affective,0.2,0.16
L_LIPd-L_Pir,Dorsal_Attention,Orbito-Affective,-0.07,0.07
L_PGp-L_pOFC,Dorsal_Attention,Orbito-Affective,-0.02,0.03
R_7PL-L_AAIC,Dorsal_Attention,Orbito-Affective,0.01,0.01
R_PFt-L_Pir,Dorsal_Attention,Orbito-Affective,-0.0,0.01
R_PFt-L_AAIC,Dorsal_Attention,Orbito-Affective,-0.0,0.0
R_TE2p-L_AAIC,Dorsal_Attention,Orbito-Affective,-0.0,0.0
R_TE2p-L_TPOJ2,Dorsal_Attention,Posterior_Multimodal,-0.0,0.01
R_MIP-R_TPOJ3,Dorsal_Attention,Posterior_Multimodal,-0.0,0.01
R_TE2p-L_PCV,Dorsal_Attention,Posterior_Multimodal,0.0,0.0
R_TE2p-L_TPOJ3,Dorsal_Attention,Posterior_Multimodal,-0.0,0.0
L_PEF-L_TPOJ2,Dorsal_Attention,Posterior_Multimodal,-0.0,0.0
R_MIP-L_6v,Dorsal_Attention,Somatomotor,0.02,0.03
R_TE2p-L_6d,Dorsal_Attention,Somatomotor,0.01,0.02
R_7PL-L_6v,Dorsal_Attention,Somatomotor,0.01,0.01
R_TE2p-L_OP4,Dorsal_Attention,Somatomotor,-0.01,0.01
R_7PL-R_2,Dorsal_Attention,Somatomotor,0.01,0.01
R_MIP-L_3a,Dorsal_Attention,Somatomotor,0.01,0.01
R_MIP-L_24dv,Dorsal_Attention,Somatomotor,0.01,0.01
R_6a-L_24dv,Dorsal_Attention,Somatomotor,-0.0,0.01
R_MIP-L_2,Dorsal_Attention,Somatomotor,0.0,0.01
L_PEF-L_5L,Dorsal_Attention,Somatomotor,-0.0,0.01
R_7PL-L_24dv,Dorsal_Attention,Somatomotor,0.0,0.0
R_PFt-L_24dv,Dorsal_Attention,Somatomotor,0.0,0.0
L_PEF-L_6d,Dorsal_Attention,Somatomotor,-0.0,0.0
R_PFt-L_PeEc,Dorsal_Attention,Ventral_Multimodal,-0.02,0.02
R_7PL-R_PeEc,Dorsal_Attention,Ventral_Multimodal,-0.0,0.01
R_PGp-L_PeEc,Dorsal_Attention,Ventral_Multimodal,0.0,0.0
R_TE2p-L_DVT,Dorsal_Attention,Visual1,0.0,0.0
R_TE2p-L_MST,Dorsal_Attention,Visual2,-0.07,0.1
R_PFt-R_VMV3,Dorsal_Attention,Visual2,0.01,0.02
R_TE2p-L_MT,Dorsal_Attention,Visual2,-0.01,0.02
R_TE2p-L_LO1,Dorsal_Attention,Visual2,-0.0,0.01
L_PEF-L_FST,Dorsal_Attention,Visual2,-0.0,0.01
L_PEF-L_V7,Dorsal_Attention,Visual2,0.0,0.0
L_MIP-L_VMV2,Dorsal_Attention,Visual2,-0.0,0.0
L_PHA3-L_FST,Dorsal_Attention,Visual2,0.0,0.0
R_TE2p-L_V4t,Dorsal_Attention,Visual2,-0.0,0.0
R_TE2p-L_FST,Dorsal_Attention,Visual2,-0.0,0.0
L_PEF-L_V3B,Dorsal_Attention,Visual2,-0.0,0.0
R_TE2p-R_VMV1,Dorsal_Attention,Visual2,-0.0,0.0
R_TE2p-L_V3B,Dorsal_Attention,Visual2,-0.0,0.0
R_TE2p-L_LO3,Dorsal_Attention,Visual2,0.0,0.0
R_MIP-AMYGDALA_RIGHT,Dorsal_Attention,subcortex,-0.09,0.15
L_LIPd-AMYGDALA_LEFT,Dorsal_Attention,subcortex,-0.05,0.05
L_PEF-L_i6-8,Dorsal_Attention,subcortex,-0.02,0.05
L_TE2p-DIENCEPHALON_VENTRAL_RIGHT,Dorsal_Attention,subcortex,-0.02,0.03
R_7PL-AMYGDALA_RIGHT,Dorsal_Attention,subcortex,-0.0,0.01
R_TE2p-CEREBELLUM_LEFT,Dorsal_Attention,subcortex,-0.0,0.01
R_TE2p-AMYGDALA_RIGHT,Dorsal_Attention,subcortex,0.0,0.0
R_TE2p-PUTAMEN_RIGHT,Dorsal_Attention,subcortex,0.0,0.0
R_PGp-PUTAMEN_RIGHT,Dorsal_Attention,subcortex,0.0,0.0
R_TE2p-PALLIDUM_LEFT,Dorsal_Attention,subcortex,0.0,0.0
R_OFC-L_A4,Frontoparietal,Auditory,0.01,0.01
R_AVI-R_LBelt,Frontoparietal,Auditory,-0.0,0.01
R_13l-L_5mv,Frontoparietal,Cingulo-Opercular,-0.13,0.16
R_TE1p-L_33pr,Frontoparietal,Cingulo-Opercular,0.12,0.1
L_a47r-L_FOP4,Frontoparietal,Cingulo-Opercular,0.07,0.1
L_a47r-L_FOP5,Frontoparietal,Cingulo-Opercular,0.06,0.06
R_IFSp-R_FOP5,Frontoparietal,Cingulo-Opercular,-0.06,0.1
R_a47r-R_FOP4,Frontoparietal,Cingulo-Opercular,0.06,0.12
L_a47r-L_MI,Frontoparietal,Cingulo-Opercular,0.03,0.05
L_13l-L_FOP4,Frontoparietal,Cingulo-Opercular,0.03,0.03
R_IFSp-R_IFSa,Frontoparietal,Cingulo-Opercular,-0.03,0.04
R_p10p-L_PFop,Frontoparietal,Cingulo-Opercular,-0.03,0.06
L_a47r-L_FOP3,Frontoparietal,Cingulo-Opercular,0.03,0.03
R_TE1m-L_PFcm,Frontoparietal,Cingulo-Opercular,0.02,0.03
L_a47r-L_FOP1,Frontoparietal,Cingulo-Opercular,0.02,0.02
R_RSC-L_PFop,Frontoparietal,Cingulo-Opercular,0.02,0.03
R_a47r-R_FOP5,Frontoparietal,Cingulo-Opercular,0.02,0.01
R_AVI-R_PF,Frontoparietal,Cingulo-Opercular,-0.01,0.02
R_TE1m-L_PFop,Frontoparietal,Cingulo-Opercular,0.01,0.02
L_POS2-L_p24pr,Frontoparietal,Cingulo-Opercular,-0.01,0.03
R_IFSp-R_FOP4,Frontoparietal,Cingulo-Opercular,-0.01,0.01
R_TE1m-L_MI,Frontoparietal,Cingulo-Opercular,0.01,0.02
R_TE1m-L_43,Frontoparietal,Cingulo-Opercular,0.01,0.01
R_33pr-L_PFcm,Frontoparietal,Cingulo-Opercular,0.01,0.02
R_a47r-L_p24pr,Frontoparietal,Cingulo-Opercular,-0.01,0.01
R_POS2-R_FOP5,Frontoparietal,Cingulo-Opercular,0.01,0.01
L_7Pm-L_p32pr,Frontoparietal,Cingulo-Opercular,0.01,0.01
R_a47r-R_PFcm,Frontoparietal,Cingulo-Opercular,-0.01,0.01
R_POS2-R_IFSa,Frontoparietal,Cingulo-Opercular,0.01,0.01
R_a47r-L_p32pr,Frontoparietal,Cingulo-Opercular,-0.0,0.01
R_44-L_a32pr,Frontoparietal,Cingulo-Opercular,0.0,0.01
R_TE1m-L_6r,Frontoparietal,Cingulo-Opercular,0.0,0.01
R_PFm-R_FOP5,Frontoparietal,Cingulo-Opercular,-0.0,0.01
R_AVI-R_PFop,Frontoparietal,Cingulo-Opercular,0.0,0.01
R_a47r-R_46,Frontoparietal,Cingulo-Opercular,-0.0,0.01
L_7Pm-L_a24pr,Frontoparietal,Cingulo-Opercular,0.0,0.01
L_AVI-L_PFop,Frontoparietal,Cingulo-Opercular,0.0,0.0
L_POS2-L_p32pr,Frontoparietal,Cingulo-Opercular,0.0,0.01
R_AVI-L_p32pr,Frontoparietal,Cingulo-Opercular,-0.0,0.0
R_TE1m-L_FOP1,Frontoparietal,Cingulo-Opercular,0.0,0.01
R_8C-L_33pr,Frontoparietal,Cingulo-Opercular,-0.0,0.0
R_44-R_46,Frontoparietal,Cingulo-Opercular,-0.0,0.01
R_p47r-L_p24pr,Frontoparietal,Cingulo-Opercular,-0.0,0.0
R_IFJp-L_p32pr,Frontoparietal,Cingulo-Opercular,0.0,0.0
L_POS2-L_a24pr,Frontoparietal,Cingulo-Opercular,0.0,0.01
R_p10p-L_p24pr,Frontoparietal,Cingulo-Opercular,-0.0,0.0
R_RSC-L_p32pr,Frontoparietal,Cingulo-Opercular,0.0,0.0
R_d32-L_p32pr,Frontoparietal,Cingulo-Opercular,-0.0,0.0
R_a47r-L_MI,Frontoparietal,Cingulo-Opercular,0.0,0.0
R_a47r-L_a24pr,Frontoparietal,Cingulo-Opercular,-0.0,0.0
R_a47r-L_33pr,Frontoparietal,Cingulo-Opercular,-0.0,0.0
L_7Pm-L_p24pr,Frontoparietal,Cingulo-Opercular,-0.0,0.0
L_a47r-L_PFop,Frontoparietal,Cingulo-Opercular,0.0,0.0
R_44-L_p24pr,Frontoparietal,Cingulo-Opercular,-0.0,0.0
R_a47r-L_FOP4,Frontoparietal,Cingulo-Opercular,0.0,0.0
R_a10p-L_a24pr,Frontoparietal,Cingulo-Opercular,-0.0,0.0
R_44-R_PFop,Frontoparietal,Cingulo-Opercular,-0.0,0.0
R_p10p-L_p32pr,Frontoparietal,Cingulo-Opercular,-0.0,0.0
L_POS2-L_a32pr,Frontoparietal,Cingulo-Opercular,-0.0,0.0
R_d32-L_a24pr,Frontoparietal,Cingulo-Opercular,-0.0,0.0
R_44-L_p32pr,Frontoparietal,Cingulo-Opercular,-0.0,0.0
R_AVI-L_PF,Frontoparietal,Cingulo-Opercular,-0.0,0.0
L_7Pm-L_33pr,Frontoparietal,Cingulo-Opercular,-0.0,0.0
L_AVI-L_PF,Frontoparietal,Cingulo-Opercular,-0.0,0.0
L_7Pm-L_a32pr,Frontoparietal,Cingulo-Opercular,-0.0,0.0
R_AVI-L_a24pr,Frontoparietal,Cingulo-Opercular,-0.0,0.0
R_AVI-L_p24pr,Frontoparietal,Cingulo-Opercular,-0.0,0.0
R_8BM-L_p32pr,Frontoparietal,Cingulo-Opercular,-0.0,0.0
R_AVI-L_PFop,Frontoparietal,Cingulo-Opercular,-0.0,0.0
R_p47r-L_p32pr,Frontoparietal,Cingulo-Opercular,-0.0,0.0
R_AVI-L_33pr,Frontoparietal,Cingulo-Opercular,0.0,0.0
R_IFJp-L_p24pr,Frontoparietal,Cingulo-Opercular,0.0,0.0
R_p47r-L_33pr,Frontoparietal,Cingulo-Opercular,-0.0,0.0
R_d32-L_p24pr,Frontoparietal,Cingulo-Opercular,0.0,0.0
R_7Pm-L_6ma,Frontoparietal,Cingulo-Opercular,0.0,0.0
R_8C-L_a24pr,Frontoparietal,Cingulo-Opercular,0.0,0.0
R_IFJp-L_a24pr,Frontoparietal,Cingulo-Opercular,0.0,0.0
R_IFJp-L_33pr,Frontoparietal,Cingulo-Opercular,0.0,0.0
R_44-L_a24pr,Frontoparietal,Cingulo-Opercular,-0.0,0.0
R_8C-L_p32pr,Frontoparietal,Cingulo-Opercular,0.0,0.0
R_a47r-R_PFop,Frontoparietal,Cingulo-Opercular,-0.0,0.0
R_8C-L_p24pr,Frontoparietal,Cingulo-Opercular,-0.0,0.0
R_p47r-L_a24pr,Frontoparietal,Cingulo-Opercular,-0.0,0.0
L_7Pm-L_SCEF,Frontoparietal,Cingulo-Opercular,-0.0,0.0
R_a47r-L_PFop,Frontoparietal,Cingulo-Opercular,0.0,0.0
R_p10p-L_a24pr,Frontoparietal,Cingulo-Opercular,-0.0,0.0
R_8BM-L_a24pr,Frontoparietal,Cingulo-Opercular,0.0,0.0
R_AVI-L_PFcm,Frontoparietal,Cingulo-Opercular,0.0,0.0
L_11l-L_31a,Frontoparietal,Default,-0.17,0.22
R_a10p-L_10pp,Frontoparietal,Default,0.15,0.17
R_13l-R_s32,Frontoparietal,Default,0.12,0.16
R_TE1m-L_PHA2,Frontoparietal,Default,-0.06,0.1
R_44-R_TE1a,Frontoparietal,Default,0.05,0.05
R_p10p-L_EC,Frontoparietal,Default,-0.04,0.05
R_OFC-L_v23ab,Frontoparietal,Default,0.04,0.03
L_a47r-L_47s,Frontoparietal,Default,0.03,0.03
R_d32-L_TE1m,Frontoparietal,Default,0.02,0.04
L_a47r-L_10pp,Frontoparietal,Default,-0.02,0.03
L_PFm-L_TE1m,Frontoparietal,Default,-0.02,0.02
R_33pr-L_STSvp,Frontoparietal,Default,0.02,0.04
R_TE1p-L_10v,Frontoparietal,Default,0.02,0.03
L_a47r-L_TGd,Frontoparietal,Default,0.02,0.02
R_p10p-L_s32,Frontoparietal,Default,0.01,0.02
R_44-R_s32,Frontoparietal,Default,-0.01,0.02
R_RSC-L_47s,Frontoparietal,Default,0.01,0.02
L_a47r-L_s32,Frontoparietal,Default,-0.01,0.01
R_d32-R_9p,Frontoparietal,Default,-0.01,0.01
R_TE1m-L_47l,Frontoparietal,Default,0.01,0.02
R_TE1p-L_PGs,Frontoparietal,Default,-0.01,0.01
R_RSC-L_TGd,Frontoparietal,Default,0.01,0.01
R_AVI-R_STSda,Frontoparietal,Default,0.01,0.01
R_p47r-L_s32,Frontoparietal,Default,0.01,0.01
R_AVI-R_TE1a,Frontoparietal,Default,0.01,0.01
R_AVI-R_s32,Frontoparietal,Default,-0.01,0.01
L_a47r-L_STSva,Frontoparietal,Default,0.01,0.01
R_a47r-L_s32,Frontoparietal,Default,0.01,0.01
R_a47r-L_TGd,Frontoparietal,Default,-0.01,0.01
R_a47r-L_47s,Frontoparietal,Default,-0.01,0.01
R_RSC-R_s32,Frontoparietal,Default,0.01,0.01
R_44-L_TE1m,Frontoparietal,Default,0.0,0.01
R_a47r-L_25,Frontoparietal,Default,-0.0,0.03
R_AVI-L_s32,Frontoparietal,Default,0.0,0.01
R_13l-L_10v,Frontoparietal,Default,-0.0,0.01
R_a47r-R_47s,Frontoparietal,Default,0.0,0.01
L_IFJp-L_31pd,Frontoparietal,Default,-0.0,0.01
R_AVI-R_STSvp,Frontoparietal,Default,0.0,0.01
R_p10p-L_47s,Frontoparietal,Default,-0.0,0.01
L_a47r-L_PGi,Frontoparietal,Default,-0.0,0.01
R_AVI-L_TE1m,Frontoparietal,Default,0.0,0.0
R_a47r-L_TE1m,Frontoparietal,Default,0.0,0.0
R_a47r-L_H,Frontoparietal,Default,0.0,0.01
R_a47r-R_s32,Frontoparietal,Default,-0.0,0.01
L_AVI-L_s32,Frontoparietal,Default,-0.0,0.01
R_a47r-R_PGi,Frontoparietal,Default,0.0,0.0
L_IFJp-L_s32,Frontoparietal,Default,-0.0,0.01
R_p47r-L_H,Frontoparietal,Default,0.0,0.01
R_AVI-L_PHA2,Frontoparietal,Default,-0.0,0.01
L_AVI-L_STSvp,Frontoparietal,Default,0.0,0.0
R_OFC-L_9p,Frontoparietal,Default,-0.0,0.0
L_7Pm-L_PHA2,Frontoparietal,Default,0.0,0.01
R_44-R_PGi,Frontoparietal,Default,-0.0,0.0
R_a47r-L_47m,Frontoparietal,Default,-0.0,0.0
R_p47r-L_47s,Frontoparietal,Default,-0.0,0.0
L_a47r-L_EC,Frontoparietal,Default,0.0,0.0
R_p47r-L_TE1m,Frontoparietal,Default,0.0,0.0
R_44-L_s32,Frontoparietal,Default,0.0,0.0
R_IFSp-R_s32,Frontoparietal,Default,-0.0,0.0
L_AVI-L_PGs,Frontoparietal,Default,-0.0,0.0
R_a47r-R_TE1a,Frontoparietal,Default,-0.0,0.0
L_a47r-L_31pd,Frontoparietal,Default,0.0,0.0
L_a47r-L_25,Frontoparietal,Default,-0.0,0.0
L_7Pm-L_8Av,Frontoparietal,Default,0.0,0.0
R_44-R_STSvp,Frontoparietal,Default,0.0,0.0
R_33pr-L_PGi,Frontoparietal,Default,-0.0,0.0
R_AVI-L_25,Frontoparietal,Default,0.0,0.01
R_AVI-L_PGi,Frontoparietal,Default,-0.0,0.0
R_RSC-R_25,Frontoparietal,Default,0.0,0.0
L_AVI-L_PGi,Frontoparietal,Default,-0.0,0.0
L_AVI-L_TE1a,Frontoparietal,Default,-0.0,0.0
L_8BM-L_s32,Frontoparietal,Default,-0.0,0.0
R_AVI-L_47s,Frontoparietal,Default,-0.0,0.0
L_7Pm-L_47s,Frontoparietal,Default,0.0,0.0
R_AVI-R_25,Frontoparietal,Default,0.0,0.0
R_POS2-L_8Av,Frontoparietal,Default,0.0,0.0
R_a47r-R_25,Frontoparietal,Default,-0.0,0.0
R_AVI-R_PGi,Frontoparietal,Default,-0.0,0.01
R_AVI-L_LIPd,Frontoparietal,Dorsal_Attention,0.05,0.05
R_OFC-L_TE2p,Frontoparietal,Dorsal_Attention,0.04,0.07
R_RSC-R_TE2p,Frontoparietal,Dorsal_Attention,-0.02,0.03
R_p47r-L_LIPd,Frontoparietal,Dorsal_Attention,0.01,0.02
R_TE1m-L_TE2p,Frontoparietal,Dorsal_Attention,0.01,0.02
R_TE1m-L_PFt,Frontoparietal,Dorsal_Attention,0.01,0.01
R_a47r-L_LIPd,Frontoparietal,Dorsal_Attention,0.01,0.01
R_OFC-L_PHT,Frontoparietal,Dorsal_Attention,0.01,0.01
R_OFC-L_6a,Frontoparietal,Dorsal_Attention,-0.0,0.01
R_44-R_PGp,Frontoparietal,Dorsal_Attention,-0.0,0.01
R_a47r-R_TE2p,Frontoparietal,Dorsal_Attention,0.0,0.01
R_IFJp-L_7PL,Frontoparietal,Dorsal_Attention,0.0,0.01
R_d32-R_TE2p,Frontoparietal,Dorsal_Attention,0.0,0.01
R_33pr-R_IP0,Frontoparietal,Dorsal_Attention,0.0,0.0
L_IFJp-L_6a,Frontoparietal,Dorsal_Attention,-0.0,0.01
R_AVI-R_TE2p,Frontoparietal,Dorsal_Attention,0.0,0.0
R_a47r-R_PGp,Frontoparietal,Dorsal_Attention,0.0,0.0
R_AVI-R_PGp,Frontoparietal,Dorsal_Attention,-0.0,0.0
L_AVI-L_PFt,Frontoparietal,Dorsal_Attention,0.0,0.0
L_IFJp-L_IP0,Frontoparietal,Dorsal_Attention,-0.0,0.0
R_a47r-L_PEF,Frontoparietal,Dorsal_Attention,-0.0,0.0
L_AVI-L_PGp,Frontoparietal,Dorsal_Attention,-0.0,0.0
R_p47r-L_PEF,Frontoparietal,Dorsal_Attention,0.0,0.0
R_p10p-L_PEF,Frontoparietal,Dorsal_Attention,-0.0,0.0
R_7Pm-L_6a,Frontoparietal,Dorsal_Attention,-0.0,0.0
L_IFJp-L_PGp,Frontoparietal,Dorsal_Attention,-0.0,0.0
R_AVI-L_PFt,Frontoparietal,Dorsal_Attention,0.0,0.0
R_AVI-L_PEF,Frontoparietal,Dorsal_Attention,-0.0,0.0
L_a10p-L_13l,Frontoparietal,Frontoparietal,0.13,0.14
R_13l-L_a10p,Frontoparietal,Frontoparietal,-0.07,0.09
R_IFSp-R_OFC,Frontoparietal,Frontoparietal,-0.07,0.08
R_13l-L_IFSa,Frontoparietal,Frontoparietal,-0.04,0.1
R_44-L_13l,Frontoparietal,Frontoparietal,-0.03,0.04
R_a47r-R_p47r,Frontoparietal,Frontoparietal,0.03,0.03
L_13l-L_p10p,Frontoparietal,Frontoparietal,0.03,0.05
R_13l-L_PFm,Frontoparietal,Frontoparietal,0.03,0.05
L_IFSa-L_13l,Frontoparietal,Frontoparietal,0.02,0.01
R_AVI-L_13l,Frontoparietal,Frontoparietal,-0.02,0.02
L_a47r-L_AVI,Frontoparietal,Frontoparietal,0.02,0.01
R_IFSp-R_a10p,Frontoparietal,Frontoparietal,-0.02,0.02
R_8C-R_OFC,Frontoparietal,Frontoparietal,-0.01,0.01
R_7Pm-L_IFJp,Frontoparietal,Frontoparietal,0.01,0.03
L_a47r-L_p47r,Frontoparietal,Frontoparietal,0.01,0.01
R_8BM-R_a10p,Frontoparietal,Frontoparietal,-0.01,0.01
R_AVI-L_a47r,Frontoparietal,Frontoparietal,-0.01,0.01
R_OFC-R_p10p,Frontoparietal,Frontoparietal,-0.0,0.01
R_OFC-R_p47r,Frontoparietal,Frontoparietal,-0.0,0.01
R_d32-R_OFC,Frontoparietal,Frontoparietal,-0.0,0.0
L_7Pm-L_IFJp,Frontoparietal,Frontoparietal,0.0,0.01
R_POS2-R_a47r,Frontoparietal,Frontoparietal,0.0,0.0
R_44-L_a47r,Frontoparietal,Frontoparietal,-0.0,0.01
L_AVI-L_PFm,Frontoparietal,Frontoparietal,-0.0,0.01
R_a47r-L_a47r,Frontoparietal,Frontoparietal,-0.0,0.0
R_44-R_OFC,Frontoparietal,Frontoparietal,-0.0,0.01
R_POS2-R_p47r,Frontoparietal,Frontoparietal,0.0,0.0
R_p47r-L_a47r,Frontoparietal,Frontoparietal,-0.0,0.01
L_POS2-L_a47r,Frontoparietal,Frontoparietal,0.0,0.0
R_a47r-R_PFm,Frontoparietal,Frontoparietal,-0.0,0.0
R_33pr-R_IFJp,Frontoparietal,Frontoparietal,0.0,0.0
R_p10p-L_a47r,Frontoparietal,Frontoparietal,-0.0,0.0
L_POS2-L_8C,Frontoparietal,Frontoparietal,-0.0,0.0
L_POS2-L_IFJp,Frontoparietal,Frontoparietal,0.0,0.0
R_p47r-L_8C,Frontoparietal,Frontoparietal,-0.0,0.01
L_7Pm-L_8BM,Frontoparietal,Frontoparietal,0.0,0.0
R_d32-L_IFJp,Frontoparietal,Frontoparietal,0.0,0.0
R_d32-L_8C,Frontoparietal,Frontoparietal,0.0,0.0
L_7Pm-L_8C,Frontoparietal,Frontoparietal,0.0,0.0
R_RSC-R_TGv,Frontoparietal,Language,-0.02,0.02
R_POS2-R_45,Frontoparietal,Language,0.01,0.01
R_11l-R_TPOJ1,Frontoparietal,Language,0.0,0.01
L_AVI-L_A5,Frontoparietal,Language,0.0,0.0
R_7Pm-L_SFL,Frontoparietal,Language,0.0,0.0
R_a47r-R_TPOJ1,Frontoparietal,Language,0.0,0.0
R_33pr-R_IFJa,Frontoparietal,Language,0.0,0.0
R_a47r-L_55b,Frontoparietal,Language,0.0,0.0
L_AVI-L_TPOJ1,Frontoparietal,Language,-0.0,0.0
L_a47r-L_TPOJ1,Frontoparietal,Language,0.0,0.0
R_d32-L_55b,Frontoparietal,Language,0.0,0.0
L_a10p-L_Pir,Frontoparietal,Orbito-Affective,-0.12,0.12
L_7Pm-L_pOFC,Frontoparietal,Orbito-Affective,-0.05,0.09
R_RSC-L_AAIC,Frontoparietal,Orbito-Affective,0.03,0.06
R_a47r-R_AAIC,Frontoparietal,Orbito-Affective,0.01,0.01
L_a47r-L_AAIC,Frontoparietal,Orbito-Affective,0.0,0.01
R_TE1m-L_AAIC,Frontoparietal,Orbito-Affective,0.0,0.0
R_a47r-R_Pir,Frontoparietal,Orbito-Affective,0.0,0.01
L_a47r-L_Pir,Frontoparietal,Orbito-Affective,0.0,0.0
L_PFm-L_pOFC,Frontoparietal,Orbito-Affective,-0.0,0.0
L_7Pm-L_AAIC,Frontoparietal,Orbito-Affective,-0.0,0.0
R_a47r-L_AAIC,Frontoparietal,Orbito-Affective,-0.0,0.0
R_a47r-R_TPOJ3,Frontoparietal,Posterior_Multimodal,0.0,0.01
L_AVI-L_TPOJ3,Frontoparietal,Posterior_Multimodal,-0.0,0.01
R_AVI-R_TPOJ3,Frontoparietal,Posterior_Multimodal,-0.0,0.01
L_IFJp-L_TPOJ3,Frontoparietal,Posterior_Multimodal,-0.0,0.0
L_IFJp-L_TPOJ2,Frontoparietal,Posterior_Multimodal,-0.0,0.0
R_44-R_TPOJ3,Frontoparietal,Posterior_Multimodal,0.0,0.0
R_13l-L_OP1,Frontoparietal,Somatomotor,0.05,0.09
R_TE1m-L_OP4,Frontoparietal,Somatomotor,0.02,0.03
R_AVI-R_Ig,Frontoparietal,Somatomotor,0.01,0.02
L_RSC-L_Ig,Frontoparietal,Somatomotor,0.01,0.03
R_7Pm-R_2,Frontoparietal,Somatomotor,0.01,0.01
R_33pr-L_24dd,Frontoparietal,Somatomotor,0.01,0.03
R_a47r-R_FOP2,Frontoparietal,Somatomotor,0.01,0.01
R_IFJp-L_24dv,Frontoparietal,Somatomotor,0.01,0.01
L_7Pm-L_3a,Frontoparietal,Somatomotor,0.01,0.01
R_a47r-L_6v,Frontoparietal,Somatomotor,0.0,0.01
R_AVI-L_6v,Frontoparietal,Somatomotor,0.0,0.01
R_AVI-L_OP1,Frontoparietal,Somatomotor,-0.0,0.01
R_TE1m-L_FOP2,Frontoparietal,Somatomotor,0.0,0.01
R_p47r-L_6v,Frontoparietal,Somatomotor,0.0,0.01
L_POS2-L_3a,Frontoparietal,Somatomotor,0.0,0.01
R_a47r-L_24dv,Frontoparietal,Somatomotor,-0.0,0.0
R_RSC-L_OP4,Frontoparietal,Somatomotor,0.0,0.01
R_POS2-L_6v,Frontoparietal,Somatomotor,0.0,0.0
R_AVI-R_FOP2,Frontoparietal,Somatomotor,0.0,0.0
R_d32-L_3a,Frontoparietal,Somatomotor,-0.0,0.01
R_AVI-L_3a,Frontoparietal,Somatomotor,-0.0,0.01
R_8C-L_24dd,Frontoparietal,Somatomotor,0.0,0.0
L_7Pm-L_6v,Frontoparietal,Somatomotor,0.0,0.0
L_POS2-L_24dv,Frontoparietal,Somatomotor,0.0,0.0
R_a47r-L_3a,Frontoparietal,Somatomotor,-0.0,0.0
R_44-L_6v,Frontoparietal,Somatomotor,0.0,0.01
R_p10p-L_24dv,Frontoparietal,Somatomotor,0.0,0.0
R_p10p-L_6v,Frontoparietal,Somatomotor,0.0,0.0
L_7Pm-L_24dv,Frontoparietal,Somatomotor,0.0,0.0
R_AVI-L_24dv,Frontoparietal,Somatomotor,0.0,0.0
R_8C-L_24dv,Frontoparietal,Somatomotor,0.0,0.0
L_POS2-L_6v,Frontoparietal,Somatomotor,-0.0,0.0
R_44-L_24dv,Frontoparietal,Somatomotor,0.0,0.0
R_p47r-L_24dv,Frontoparietal,Somatomotor,0.0,0.0
R_POS2-L_TF,Frontoparietal,Ventral_Multimodal,-0.02,0.05
L_a47r-L_PeEc,Frontoparietal,Ventral_Multimodal,0.0,0.01
R_OFC-R_ProS,Frontoparietal,Visual1,0.07,0.13
L_13l-L_ProS,Frontoparietal,Visual1,-0.05,0.05
R_a47r-R_DVT,Frontoparietal,Visual1,0.01,0.01
R_AVI-R_DVT,Frontoparietal,Visual1,0.01,0.01
R_a10p-R_DVT,Frontoparietal,Visual1,0.0,0.0
L_IFJp-L_DVT,Frontoparietal,Visual1,0.0,0.0
L_IFJp-L_ProS,Frontoparietal,Visual1,-0.0,0.0
R_13l-L_VMV1,Frontoparietal,Visual2,0.02,0.03
R_OFC-L_LO2,Frontoparietal,Visual2,0.02,0.02
R_33pr-R_V6A,Frontoparietal,Visual2,0.01,0.01
L_AVI-L_VMV1,Frontoparietal,Visual2,0.01,0.01
R_a47r-R_V3CD,Frontoparietal,Visual2,0.0,0.01
R_a47r-L_FFC,Frontoparietal,Visual2,0.0,0.01
R_OFC-L_V2,Frontoparietal,Visual2,0.0,0.01
R_OFC-L_V4,Frontoparietal,Visual2,0.0,0.01
L_IFJp-L_FST,Frontoparietal,Visual2,-0.0,0.01
R_OFC-L_V3,Frontoparietal,Visual2,0.0,0.0
L_IP1-L_VMV2,Frontoparietal,Visual2,0.0,0.0
L_IFJp-L_LO3,Frontoparietal,Visual2,-0.0,0.0
